Taxon name,Author
Abelmoschus esculentus,(L.) Moench      
Abelmoschus manihot,(L.) Medik.      
Abutilon auritum,(Wall. ex Link) Sweet    
Abutilon megapotamicum,(A.Spreng.) A.St.-Hil. & Naudin    
Acacia auriculiformis,Benth.       
Acacia baileyana,F.Muell.       
Acacia balfourii,Woodrow       
Acacia concurrens,Pedley       
Acacia confusa,Merr.       
Acacia cornigera,(L.) Willd.      
Acacia cultriformis,G.Don       
Acacia dealbata,Link       
Acacia decora,Rchb.f.       
Acacia decurrens,Willd.       
Acacia elata,Benth.       
Acacia farnesiana,(L.) Willd.      
Acacia holosericea,G.Don       
Acacia karroo,Hayne       
Acacia linifolia,(Vent.) Willd.      
Acacia longifolia,(Andrews) Willd.      
Acacia maidenii,F.Muell.       
Acacia mangium,Willd.       
Acacia mearnsii,De Wild.      
Acacia melanoxylon,R.Br.       
Acacia myrtifolia,(Sm.) Willd.      
Acacia neriifolia,Benth.       
Acacia nilotica,(L.) Delile      
Acacia omalophylla,Benth.       
Acacia paradoxa,DC.       
Acacia podalyriifolia,G.Don       
Acacia pulchella,R.Br.       
Acacia pycnantha,Benth.       
Acacia retinodes,Schltdl.       
Acacia richii,A.Gray       
Acacia robusta,Burch.       
Acacia saligna,(Labill.) H.L. Wendl.     
Acacia senegal,(L.) Willd.      
Acacia tortilis,(Forssk.) Hayne      
Acacia truncata,Hoffmanns.       
Acacia verticillata,(L'Her.) Willd.      
Acacia willdenowiana,Wendl.       
Acalypha amentacea,Roxb.       
Acalypha australis,L.       
Acalypha chamaedrifolia,(Lam.) M∏ll.Arg.      
Acalypha ciliata,Forssk.       
Acalypha hispida,Burm.f.       
Acalypha wilkesiana,M∏ll.Arg.       
Acanthospermum hispidum,DC.       
Acanthus mollis,L.       
Acanthus montanus,(Nees) T.Anderson      
Acca sellowiana,(O.Berg) Burret      
Acer pseudoplatanus,L.       
Achetaria azurea,(Linden) V.C.Souza      
Achillea millefolium,L.       
Achimenes grandiflora,(Schiede) DC.      
Achimenes longiflora,DC.       
Achyranthes aspera,L.       
Acmella ciliata,(Kunth) Cass.      
Acmella radicans,(Jacq.) R.K.Jansen      
Acmella uliginosa,(Sw.) Cass.      
Acokanthera oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.  
Adansonia digitata,L.       
Adenanthera microsperma,Teijsm. & Binn.     
Adenium obesum,(Forssk.) Roem. & Schult.    
Adenophyllum cooperi,(A.Gray) Strother      
Adenostemma lavenia,(L.) Kuntze      
Adonidia merrillii,(Becc.) Becc.      
Aeluropus lagopoides,(L.) Thwaites      
Aeonium arboreum,Webb & Berthel.     
Aerva javanica,(Burm.f.) Juss. ex Schult.    
Aeschynomene americana,L.       
Aeschynomene brasiliana,(Poir.) DC.      
Aeschynomene indica,L.       
Afrocarpus gracilior,(Pilg.) C.N.Page      
